"AGE","AGE_SPECIFIC_CI_LOWER","AGE_SPECIFIC_CI_UPPER","AGE_SPECIFIC_RATE","COUNT","EVENT_TYPE","POPULATION","SITE","YEAR","SERIALID"
"<1","0.400000005960464","0.899999976158142","0.600000023841858","25","Mortality",4012658,"Leukemias","2001-04-01 00:00:00",650
"1-4","8.60000038146973","9.60000038146973","9.10000038146973","1281","Incidence",14133019,"Leukemias","2001-04-01 00:00:00",651
"10-14","2.70000004768372","3.20000004768372","2.90000009536743","572","Incidence",19390595,"Leukemias","2001-04-01 00:00:00",652
"15-19","2.59999990463257","3.09999990463257","2.79999995231628","535","Incidence",18860805,"Leukemias","2001-04-01 00:00:00",653
"5-9","3.5","4.09999990463257","3.79999995231628","705","Incidence",18660987,"Leukemias","2001-04-01 00:00:00",654
"<1","3.5","4.80000019073486","4.09999990463257","153","Incidence",3710508,"Leukemias","2001-04-01 00:00:00",655
"1-4","0.100000001490116","0.200000002980232","0.100000001490116","18","Mortality",15285559,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",656
"10-14","null","null","null","null","Mortality",20978678,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",657
"15-19","null","null","null","null","Mortality",20456284,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",658
"5-9","null","null","null","null","Mortality",20173362,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",659
"<1","null","null","null","null","Mortality",4012658,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",660
"1-4","0.300000011920929","0.5","0.400000005960464","58","Incidence",14133019,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",661
"10-14","0","0.100000001490116","0.100000001490116","16","Incidence",19390595,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",662
"15-19","0.100000001490116","0.200000002980232","0.100000001490116","25","Incidence",18860805,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",663
"5-9","0.100000001490116","0.200000002980232","0.100000001490116","19","Incidence",18660987,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",664
"<1","0.800000011920929","1.5","1.10000002384186","40","Incidence",3710508,"Liver and Intrahepatic Bile Duct","2001-04-01 00:00:00",665
"1-4","null","null","null","null","Mortality",15285559,"Lung and Bronchus","2001-04-01 00:00:00",666
"10-14","null","null","null","null","Mortality",20978678,"Lung and Bronchus","2001-04-01 00:00:00",667
"15-19","null","null","null","null","Mortality",20456284,"Lung and Bronchus","2001-04-01 00:00:00",668
"5-9","null","null","null","null","Mortality",20173362,"Lung and Bronchus","2001-04-01 00:00:00",669
"<1","null","null","null","null","Mortality",4012658,"Lung and Bronchus","2001-04-01 00:00:00",670
"1-4","null","null","null","null","Incidence",14133019,"Lung and Bronchus","2001-04-01 00:00:00",671
"10-14","null","null","null","null","Incidence",19390595,"Lung and Bronchus","2001-04-01 00:00:00",672
"15-19","0.100000001490116","0.200000002980232","0.200000002980232","32","Incidence",18860805,"Lung and Bronchus","2001-04-01 00:00:00",673
"5-9","null","null","null","null","Incidence",18660987,"Lung and Bronchus","2001-04-01 00:00:00",674
"<1","null","null","null","null","Incidence",3710508,"Lung and Bronchus","2001-04-01 00:00:00",675
"1-4","null","null","null","null","Mortality",7468536,"Male and Female Breast","2001-04-01 00:00:00",676
"10-14","null","null","null","null","Mortality",10231469,"Male and Female Breast","2001-04-01 00:00:00",677
"15-19","null","null","null","null","Mortality",9908897,"Male and Female Breast","2001-04-01 00:00:00",678
"5-9","null","null","null","null","Mortality",9844298,"Male and Female Breast","2001-04-01 00:00:00",679
"<1","null","null","null","null","Mortality",1962905,"Male and Female Breast","2001-04-01 00:00:00",680
"1-4","null","null","null","null","Incidence",6905425,"Male and Female Breast","2001-04-01 00:00:00",681
"10-14","null","null","null","null","Incidence",9456106,"Male and Female Breast","2001-04-01 00:00:00",682
"15-19","0.100000001490116","0.300000011920929","0.200000002980232","20","Incidence",9131018,"Male and Female Breast","2001-04-01 00:00:00",683
"5-9","null","null","null","null","Incidence",9106193,"Male and Female Breast","2001-04-01 00:00:00",684
"<1","null","null","null","null","Incidence",1814848,"Male and Female Breast","2001-04-01 00:00:00",685
"1-4","null","null","null","null","Incidence",6905425,"Male and Female Breast, <i>in situ</i>","2001-04-01 00:00:00",686
"10-14","null","null","null","null","Incidence",9456106,"Male and Female Breast, <i>in situ</i>","2001-04-01 00:00:00",687
"15-19","null","null","null","null","Incidence",9131018,"Male and Female Breast, <i>in situ</i>","2001-04-01 00:00:00",688
"5-9","null","null","null","null","Incidence",9106193,"Male and Female Breast, <i>in situ</i>","2001-04-01 00:00:00",689
"<1","null","null","null","null","Incidence",1814848,"Male and Female Breast, <i>in situ</i>","2001-04-01 00:00:00",690
"1-4","null","null","null","null","Mortality",15285559,"Melanomas of the Skin","2001-04-01 00:00:00",691
"10-14","null","null","null","null","Mortality",20978678,"Melanomas of the Skin","2001-04-01 00:00:00",692
"15-19","null","null","null","null","Mortality",20456284,"Melanomas of the Skin","2001-04-01 00:00:00",693
"5-9","null","null","null","null","Mortality",20173362,"Melanomas of the Skin","2001-04-01 00:00:00",694
"<1","null","null","null","null","Mortality",4012658,"Melanomas of the Skin","2001-04-01 00:00:00",695
"1-4","null","null","null","null","Incidence",14133019,"Melanomas of the Skin","2001-04-01 00:00:00",696
"10-14","0.300000011920929","0.5","0.400000005960464","76","Incidence",19390595,"Melanomas of the Skin","2001-04-01 00:00:00",697
"15-19","1.5","1.89999997615814","1.70000004768372","314","Incidence",18860805,"Melanomas of the Skin","2001-04-01 00:00:00",698
"5-9","0.100000001490116","0.200000002980232","0.100000001490116","21","Incidence",18660987,"Melanomas of the Skin","2001-04-01 00:00:00",699
"<1","null","null","null","null","Incidence",3710508,"Melanomas of the Skin","2001-04-01 00:00:00",700
"1-4","null","null","null","null","Mortality",15285559,"Mesothelioma","2001-04-01 00:00:00",701
"10-14","null","null","null","null","Mortality",20978678,"Mesothelioma","2001-04-01 00:00:00",702
"15-19","null","null","null","null","Mortality",20456284,"Mesothelioma","2001-04-01 00:00:00",703
"5-9","null","null","null","null","Mortality",20173362,"Mesothelioma","2001-04-01 00:00:00",704
"<1","null","null","null","null","Mortality",4012658,"Mesothelioma","2001-04-01 00:00:00",705
"1-4","null","null","null","null","Incidence",14133019,"Mesothelioma","2001-04-01 00:00:00",706
"10-14","null","null","null","null","Incidence",19390595,"Mesothelioma","2001-04-01 00:00:00",707
"15-19","null","null","null","null","Incidence",18860805,"Mesothelioma","2001-04-01 00:00:00",708
"5-9","null","null","null","null","Incidence",18660987,"Mesothelioma","2001-04-01 00:00:00",709
"<1","null","null","null","null","Incidence",3710508,"Mesothelioma","2001-04-01 00:00:00",710
"1-4","null","null","null","null","Mortality",15285559,"Myeloma","2001-04-01 00:00:00",711
"10-14","null","null","null","null","Mortality",20978678,"Myeloma","2001-04-01 00:00:00",712
"15-19","null","null","null","null","Mortality",20456284,"Myeloma","2001-04-01 00:00:00",713
"5-9","null","null","null","null","Mortality",20173362,"Myeloma","2001-04-01 00:00:00",714
"<1","null","null","null","null","Mortality",4012658,"Myeloma","2001-04-01 00:00:00",715
"1-4","null","null","null","null","Incidence",14133019,"Myeloma","2001-04-01 00:00:00",716
"10-14","null","null","null","null","Incidence",19390595,"Myeloma","2001-04-01 00:00:00",717
"15-19","null","null","null","null","Incidence",18860805,"Myeloma","2001-04-01 00:00:00",718
"5-9","null","null","null","null","Incidence",18660987,"Myeloma","2001-04-01 00:00:00",719
"<1","null","null","null","null","Incidence",3710508,"Myeloma","2001-04-01 00:00:00",720
"1-4","null","null","null","null","Mortality",15285559,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",721
"10-14","0.100000001490116","0.200000002980232","0.100000001490116","27","Mortality",20978678,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",722
"15-19","0.200000002980232","0.400000005960464","0.300000011920929","61","Mortality",20456284,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",723
"5-9","null","null","null","null","Mortality",20173362,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",724
"<1","null","null","null","null","Mortality",4012658,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",725
"1-4","0.400000005960464","0.699999988079071","0.600000023841858","79","Incidence",14133019,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",726
"10-14","1.10000002384186","1.5","1.29999995231628","249","Incidence",19390595,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",727
"15-19","1.60000002384186","1.89999997615814","1.70000004768372","330","Incidence",18860805,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",728
"5-9","0.800000011920929","1.10000002384186","1","178","Incidence",18660987,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",729
"<1","null","null","null","null","Incidence",3710508,"Non-Hodgkin Lymphoma","2001-04-01 00:00:00",730
"1-4","null","null","null","null","Mortality",15285559,"Oral Cavity and Pharynx","2001-04-01 00:00:00",731
"10-14","null","null","null","null","Mortality",20978678,"Oral Cavity and Pharynx","2001-04-01 00:00:00",732
"15-19","null","null","null","null","Mortality",20456284,"Oral Cavity and Pharynx","2001-04-01 00:00:00",733
"5-9","null","null","null","null","Mortality",20173362,"Oral Cavity and Pharynx","2001-04-01 00:00:00",734
"<1","null","null","null","null","Mortality",4012658,"Oral Cavity and Pharynx","2001-04-01 00:00:00",735
"1-4","0.100000001490116","0.200000002980232","0.100000001490116","17","Incidence",14133019,"Oral Cavity and Pharynx","2001-04-01 00:00:00",736
"10-14","0.200000002980232","0.400000005960464","0.300000011920929","56","Incidence",19390595,"Oral Cavity and Pharynx","2001-04-01 00:00:00",737
"15-19","0.300000011920929","0.5","0.400000005960464","71","Incidence",18860805,"Oral Cavity and Pharynx","2001-04-01 00:00:00",738
"5-9","0.100000001490116","0.200000002980232","0.100000001490116","19","Incidence",18660987,"Oral Cavity and Pharynx","2001-04-01 00:00:00",739
"<1","null","null","null","null","Incidence",3710508,"Oral Cavity and Pharynx","2001-04-01 00:00:00",740
"1-4","null","null","null","null","Mortality",7468536,"Ovary","2001-04-01 00:00:00",741
"10-14","null","null","null","null","Mortality",10231469,"Ovary","2001-04-01 00:00:00",742
"15-19","null","null","null","null","Mortality",9908897,"Ovary","2001-04-01 00:00:00",743
"5-9","null","null","null","null","Mortality",9844298,"Ovary","2001-04-01 00:00:00",744
"<1","null","null","null","null","Mortality",1962905,"Ovary","2001-04-01 00:00:00",745
"1-4","null","null","null","null","Incidence",6905425,"Ovary","2001-04-01 00:00:00",746
"10-14","0.5","0.800000011920929","0.600000023841858","57","Incidence",9456106,"Ovary","2001-04-01 00:00:00",747
"15-19","1","1.39999997615814","1.20000004768372","106","Incidence",9131018,"Ovary","2001-04-01 00:00:00",748
"5-9","0.100000001490116","0.300000011920929","0.200000002980232","17","Incidence",9106193,"Ovary","2001-04-01 00:00:00",749
"<1","null","null","null","null","Incidence",1814848,"Ovary","2001-04-01 00:00:00",750
"1-4","null","null","null","null","Mortality",15285559,"Pancreas","2001-04-01 00:00:00",751
"10-14","null","null","null","null","Mortality",20978678,"Pancreas","2001-04-01 00:00:00",752
"15-19","null","null","null","null","Mortality",20456284,"Pancreas","2001-04-01 00:00:00",753
"5-9","null","null","null","null","Mortality",20173362,"Pancreas","2001-04-01 00:00:00",754
"<1","null","null","null","null","Mortality",4012658,"Pancreas","2001-04-01 00:00:00",755
"1-4","null","null","null","null","Incidence",14133019,"Pancreas","2001-04-01 00:00:00",756
"10-14","null","null","null","null","Incidence",19390595,"Pancreas","2001-04-01 00:00:00",757
"15-19","null","null","null","null","Incidence",18860805,"Pancreas","2001-04-01 00:00:00",758
"5-9","null","null","null","null","Incidence",18660987,"Pancreas","2001-04-01 00:00:00",759
"<1","null","null","null","null","Incidence",3710508,"Pancreas","2001-04-01 00:00:00",760
"1-4","null","null","null","null","Mortality",7817023,"Prostate","2001-04-01 00:00:00",761
"10-14","null","null","null","null","Mortality",10747209,"Prostate","2001-04-01 00:00:00",762
"15-19","null","null","null","null","Mortality",10547387,"Prostate","2001-04-01 00:00:00",763
"5-9","null","null","null","null","Mortality",10329064,"Prostate","2001-04-01 00:00:00",764
"<1","null","null","null","null","Mortality",2049753,"Prostate","2001-04-01 00:00:00",765
"1-4","null","null","null","null","Incidence",7227594,"Prostate","2001-04-01 00:00:00",766
"10-14","null","null","null","null","Incidence",9934489,"Prostate","2001-04-01 00:00:00",767
"15-19","null","null","null","null","Incidence",9729787,"Prostate","2001-04-01 00:00:00",768
"5-9","null","null","null","null","Incidence",9554794,"Prostate","2001-04-01 00:00:00",769
"<1","null","null","null","null","Incidence",1895660,"Prostate","2001-04-01 00:00:00",770
"1-4","null","null","null","null","Mortality",15285559,"Stomach","2001-04-01 00:00:00",771
"10-14","null","null","null","null","Mortality",20978678,"Stomach","2001-04-01 00:00:00",772
"15-19","null","null","null","null","Mortality",20456284,"Stomach","2001-04-01 00:00:00",773
"5-9","null","null","null","null","Mortality",20173362,"Stomach","2001-04-01 00:00:00",774
"<1","null","null","null","null","Mortality",4012658,"Stomach","2001-04-01 00:00:00",775
"1-4","null","null","null","null","Incidence",14133019,"Stomach","2001-04-01 00:00:00",776
"10-14","null","null","null","null","Incidence",19390595,"Stomach","2001-04-01 00:00:00",777
"15-19","null","null","null","null","Incidence",18860805,"Stomach","2001-04-01 00:00:00",778
"5-9","null","null","null","null","Incidence",18660987,"Stomach","2001-04-01 00:00:00",779
"<1","null","null","null","null","Incidence",3710508,"Stomach","2001-04-01 00:00:00",780
"1-4","null","null","null","null","Mortality",7817023,"Testis","2001-04-01 00:00:00",781
"10-14","null","null","null","null","Mortality",10747209,"Testis","2001-04-01 00:00:00",782
"15-19","null","null","null","null","Mortality",10547387,"Testis","2001-04-01 00:00:00",783
"5-9","null","null","null","null","Mortality",10329064,"Testis","2001-04-01 00:00:00",784
"<1","null","null","null","null","Mortality",2049753,"Testis","2001-04-01 00:00:00",785
"1-4","0.300000011920929","0.600000023841858","0.400000005960464","31","Incidence",7227594,"Testis","2001-04-01 00:00:00",786
"10-14","0.100000001490116","0.300000011920929","0.200000002980232","16","Incidence",9934489,"Testis","2001-04-01 00:00:00",787
"15-19","3","3.70000004768372","3.29999995231628","323","Incidence",9729787,"Testis","2001-04-01 00:00:00",788
"5-9","null","null","null","null","Incidence",9554794,"Testis","2001-04-01 00:00:00",789
"<1","0.699999988079071","1.70000004768372","1.10000002384186","21","Incidence",1895660,"Testis","2001-04-01 00:00:00",790
"1-4","null","null","null","null","Mortality",15285559,"Thyroid","2001-04-01 00:00:00",791
"10-14","null","null","null","null","Mortality",20978678,"Thyroid","2001-04-01 00:00:00",792
"15-19","null","null","null","null","Mortality",20456284,"Thyroid","2001-04-01 00:00:00",793
"5-9","null","null","null","null","Mortality",20173362,"Thyroid","2001-04-01 00:00:00",794
"<1","null","null","null","null","Mortality",4012658,"Thyroid","2001-04-01 00:00:00",795
"1-4","null","null","null","null","Incidence",14133019,"Thyroid","2001-04-01 00:00:00",796
"10-14","0.5","0.699999988079071","0.600000023841858","109","Incidence",19390595,"Thyroid","2001-04-01 00:00:00",797
"15-19","1.5","1.79999995231628","1.60000002384186","308","Incidence",18860805,"Thyroid","2001-04-01 00:00:00",798
"5-9","0.100000001490116","0.200000002980232","0.100000001490116","21","Incidence",18660987,"Thyroid","2001-04-01 00:00:00",799
"<1","null","null","null","null","Incidence",3710508,"Thyroid","2001-04-01 00:00:00",800
"1-4","null","null","null","null","Mortality",15285559,"Urinary Bladder","2001-04-01 00:00:00",801
"10-14","null","null","null","null","Mortality",20978678,"Urinary Bladder","2001-04-01 00:00:00",802
"15-19","null","null","null","null","Mortality",20456284,"Urinary Bladder","2001-04-01 00:00:00",803
"5-9","null","null","null","null","Mortality",20173362,"Urinary Bladder","2001-04-01 00:00:00",804
"<1","null","null","null","null","Mortality",4012658,"Urinary Bladder","2001-04-01 00:00:00",805
"1-4","null","null","null","null","Incidence",14133019,"Urinary Bladder","2001-04-01 00:00:00",806
"10-14","null","null","null","null","Incidence",19390595,"Urinary Bladder","2001-04-01 00:00:00",807
"15-19","0.100000001490116","0.200000002980232","0.100000001490116","23","Incidence",18860805,"Urinary Bladder","2001-04-01 00:00:00",808
"5-9","null","null","null","null","Incidence",18660987,"Urinary Bladder","2001-04-01 00:00:00",809
"<1","null","null","null","null","Incidence",3710508,"Urinary Bladder","2001-04-01 00:00:00",810
"1-4","2.29999995231628","2.90000009536743","2.59999990463257","402","Mortality",15477731,"All Cancer Sites Combined","2002-04-01 00:00:00",811
"10-14","2.29999995231628","2.70000004768372","2.5","535","Mortality",21261421,"All Cancer Sites Combined","2002-04-01 00:00:00",812
"15-19","3.29999995231628","3.79999995231628","3.5","723","Mortality",20610370,"All Cancer Sites Combined","2002-04-01 00:00:00",813
"5-9","2.5","2.90000009536743","2.70000004768372","537","Mortality",19872417,"All Cancer Sites Combined","2002-04-01 00:00:00",814
"<1","1.5","2.40000009536743","1.89999997615814","74","Mortality",3951461,"All Cancer Sites Combined","2002-04-01 00:00:00",815
"1-4","20.6000003814697","22.2000007629395","21.3999996185303","3035","Incidence",14193665,"All Cancer Sites Combined","2002-04-01 00:00:00",816
"10-14","12.3000001907349","13.3000001907349","12.8000001907349","2490","Incidence",19507073,"All Cancer Sites Combined","2002-04-01 00:00:00",817
"15-19","21.1000003814697","22.3999996185303","21.7000007629395","4099","Incidence",18870978,"All Cancer Sites Combined","2002-04-01 00:00:00",818
"5-9","11.6999998092651","12.6999998092651","12.1999998092651","2223","Incidence",18238526,"All Cancer Sites Combined","2002-04-01 00:00:00",819
"<1","23.5","26.7999992370605","25.1000003814697","910","Incidence",3625838,"All Cancer Sites Combined","2002-04-01 00:00:00",820
"1-4","0.600000023841858","0.899999976158142","0.699999988079071","114","Mortality",15477731,"Brain and Other Nervous System","2002-04-01 00:00:00",821
"10-14","0.5","0.800000011920929","0.600000023841858","135","Mortality",21261421,"Brain and Other Nervous System","2002-04-01 00:00:00",822
"15-19","0.400000005960464","0.600000023841858","0.5","108","Mortality",20610370,"Brain and Other Nervous System","2002-04-01 00:00:00",823
"5-9","0.899999976158142","1.20000004768372","1","202","Mortality",19872417,"Brain and Other Nervous System","2002-04-01 00:00:00",824
"<1","null","null","null","null","Mortality",3951461,"Brain and Other Nervous System","2002-04-01 00:00:00",825
"1-4","4.09999990463257","4.80000019073486","4.40000009536743","630","Incidence",14193665,"Brain and Other Nervous System","2002-04-01 00:00:00",826
"10-14","2.40000009536743","2.90000009536743","2.59999990463257","516","Incidence",19507073,"Brain and Other Nervous System","2002-04-01 00:00:00",827
"15-19","2","2.40000009536743","2.20000004768372","415","Incidence",18870978,"Brain and Other Nervous System","2002-04-01 00:00:00",828
"5-9","3.40000009536743","3.90000009536743","3.59999990463257","664","Incidence",18238526,"Brain and Other Nervous System","2002-04-01 00:00:00",829
"<1","3.29999995231628","4.59999990463257","3.90000009536743","143","Incidence",3625838,"Brain and Other Nervous System","2002-04-01 00:00:00",830
"1-4","null","null","null","null","Mortality",7564711,"Cervix","2002-04-01 00:00:00",831
"10-14","null","null","null","null","Mortality",10371422,"Cervix","2002-04-01 00:00:00",832
"15-19","null","null","null","null","Mortality",9981879,"Cervix","2002-04-01 00:00:00",833
"5-9","null","null","null","null","Mortality",9699735,"Cervix","2002-04-01 00:00:00",834
"<1","null","null","null","null","Mortality",1932939,"Cervix","2002-04-01 00:00:00",835
"1-4","null","null","null","null","Incidence",6937017,"Cervix","2002-04-01 00:00:00",836
"10-14","null","null","null","null","Incidence",9515499,"Cervix","2002-04-01 00:00:00",837
"15-19","0.200000002980232","0.400000005960464","0.200000002980232","22","Incidence",9133525,"Cervix","2002-04-01 00:00:00",838
"5-9","null","null","null","null","Incidence",8901520,"Cervix","2002-04-01 00:00:00",839
"<1","null","null","null","null","Incidence",1773300,"Cervix","2002-04-01 00:00:00",840
"1-4","null","null","null","null","Mortality",15477731,"Colon and Rectum","2002-04-01 00:00:00",841
"10-14","null","null","null","null","Mortality",21261421,"Colon and Rectum","2002-04-01 00:00:00",842
"15-19","null","null","null","null","Mortality",20610370,"Colon and Rectum","2002-04-01 00:00:00",843
"5-9","null","null","null","null","Mortality",19872417,"Colon and Rectum","2002-04-01 00:00:00",844
"<1","null","null","null","null","Mortality",3951461,"Colon and Rectum","2002-04-01 00:00:00",845
"1-4","null","null","null","null","Incidence",14193665,"Colon and Rectum","2002-04-01 00:00:00",846
"10-14","0.100000001490116","0.200000002980232","0.100000001490116","19","Incidence",19507073,"Colon and Rectum","2002-04-01 00:00:00",847
"15-19","0.200000002980232","0.300000011920929","0.200000002980232","45","Incidence",18870978,"Colon and Rectum","2002-04-01 00:00:00",848
"5-9","null","null","null","null","Incidence",18238526,"Colon and Rectum","2002-04-01 00:00:00",849
"<1","null","null","null","null","Incidence",3625838,"Colon and Rectum","2002-04-01 00:00:00",850
"1-4","null","null","null","null","Mortality",7564711,"Corpus and Uterus, NOS","2002-04-01 00:00:00",851
"10-14","null","null","null","null","Mortality",10371422,"Corpus and Uterus, NOS","2002-04-01 00:00:00",852
"15-19","null","null","null","null","Mortality",9981879,"Corpus and Uterus, NOS","2002-04-01 00:00:00",853
"5-9","null","null","null","null","Mortality",9699735,"Corpus and Uterus, NOS","2002-04-01 00:00:00",854
"<1","null","null","null","null","Mortality",1932939,"Corpus and Uterus, NOS","2002-04-01 00:00:00",855
"1-4","null","null","null","null","Incidence",6937017,"Corpus and Uterus, NOS","2002-04-01 00:00:00",856
"10-14","null","null","null","null","Incidence",9515499,"Corpus and Uterus, NOS","2002-04-01 00:00:00",857
"15-19","null","null","null","null","Incidence",9133525,"Corpus and Uterus, NOS","2002-04-01 00:00:00",858
"5-9","null","null","null","null","Incidence",8901520,"Corpus and Uterus, NOS","2002-04-01 00:00:00",859
"<1","null","null","null","null","Incidence",1773300,"Corpus and Uterus, NOS","2002-04-01 00:00:00",860
"1-4","null","null","null","null","Mortality",15477731,"Esophagus","2002-04-01 00:00:00",861
"10-14","null","null","null","null","Mortality",21261421,"Esophagus","2002-04-01 00:00:00",862
"15-19","null","null","null","null","Mortality",20610370,"Esophagus","2002-04-01 00:00:00",863
"5-9","null","null","null","null","Mortality",19872417,"Esophagus","2002-04-01 00:00:00",864
"<1","null","null","null","null","Mortality",3951461,"Esophagus","2002-04-01 00:00:00",865
"1-4","null","null","null","null","Incidence",14193665,"Esophagus","2002-04-01 00:00:00",866
"10-14","null","null","null","null","Incidence",19507073,"Esophagus","2002-04-01 00:00:00",867
"15-19","null","null","null","null","Incidence",18870978,"Esophagus","2002-04-01 00:00:00",868
"5-9","null","null","null","null","Incidence",18238526,"Esophagus","2002-04-01 00:00:00",869
"<1","null","null","null","null","Incidence",3625838,"Esophagus","2002-04-01 00:00:00",870
"1-4","null","null","null","null","Mortality",7564711,"Female Breast","2002-04-01 00:00:00",871
"10-14","null","null","null","null","Mortality",10371422,"Female Breast","2002-04-01 00:00:00",872
"15-19","null","null","null","null","Mortality",9981879,"Female Breast","2002-04-01 00:00:00",873
"5-9","null","null","null","null","Mortality",9699735,"Female Breast","2002-04-01 00:00:00",874
"<1","null","null","null","null","Mortality",1932939,"Female Breast","2002-04-01 00:00:00",875
"1-4","null","null","null","null","Incidence",6937017,"Female Breast","2002-04-01 00:00:00",876
"10-14","null","null","null","null","Incidence",9515499,"Female Breast","2002-04-01 00:00:00",877
"15-19","0.100000001490116","0.300000011920929","0.200000002980232","17","Incidence",9133525,"Female Breast","2002-04-01 00:00:00",878
"5-9","null","null","null","null","Incidence",8901520,"Female Breast","2002-04-01 00:00:00",879
"<1","null","null","null","null","Incidence",1773300,"Female Breast","2002-04-01 00:00:00",880
"1-4","null","null","null","null","Incidence",6937017,"Female Breast, <i>in situ</i>","2002-04-01 00:00:00",881
"10-14","null","null","null","null","Incidence",9515499,"Female Breast, <i>in situ</i>","2002-04-01 00:00:00",882
"15-19","null","null","null","null","Incidence",9133525,"Female Breast, <i>in situ</i>","2002-04-01 00:00:00",883
"5-9","null","null","null","null","Incidence",8901520,"Female Breast, <i>in situ</i>","2002-04-01 00:00:00",884
"<1","null","null","null","null","Incidence",1773300,"Female Breast, <i>in situ</i>","2002-04-01 00:00:00",885
"1-4","null","null","null","null","Mortality",15477731,"Hodgkin Lymphoma","2002-04-01 00:00:00",886
"10-14","null","null","null","null","Mortality",21261421,"Hodgkin Lymphoma","2002-04-01 00:00:00",887
"15-19","0.100000001490116","0.200000002980232","0.100000001490116","27","Mortality",20610370,"Hodgkin Lymphoma","2002-04-01 00:00:00",888
"5-9","null","null","null","null","Mortality",19872417,"Hodgkin Lymphoma","2002-04-01 00:00:00",889
"<1","null","null","null","null","Mortality",3951461,"Hodgkin Lymphoma","2002-04-01 00:00:00",890
"1-4","null","null","null","null","Incidence",14193665,"Hodgkin Lymphoma","2002-04-01 00:00:00",891
"10-14","1.10000002384186","1.39999997615814","1.20000004768372","235","Incidence",19507073,"Hodgkin Lymphoma","2002-04-01 00:00:00",892
"15-19","3","3.5","3.20000004768372","613","Incidence",18870978,"Hodgkin Lymphoma","2002-04-01 00:00:00",893
"5-9","0.300000011920929","0.400000005960464","0.300000011920929","63","Incidence",18238526,"Hodgkin Lymphoma","2002-04-01 00:00:00",894
"<1","null","null","null","null","Incidence",3625838,"Hodgkin Lymphoma","2002-04-01 00:00:00",895
"1-4","null","null","null","null","Mortality",15477731,"Kaposi Sarcoma","2002-04-01 00:00:00",896
"10-14","null","null","null","null","Mortality",21261421,"Kaposi Sarcoma","2002-04-01 00:00:00",897
"15-19","null","null","null","null","Mortality",20610370,"Kaposi Sarcoma","2002-04-01 00:00:00",898
"5-9","null","null","null","null","Mortality",19872417,"Kaposi Sarcoma","2002-04-01 00:00:00",899
"<1","null","null","null","null","Mortality",3951461,"Kaposi Sarcoma","2002-04-01 00:00:00",900
"1-4","null","null","null","null","Incidence",14193665,"Kaposi Sarcoma","2002-04-01 00:00:00",901
"10-14","null","null","null","null","Incidence",19507073,"Kaposi Sarcoma","2002-04-01 00:00:00",902
"15-19","null","null","null","null","Incidence",18870978,"Kaposi Sarcoma","2002-04-01 00:00:00",903
"5-9","null","null","null","null","Incidence",18238526,"Kaposi Sarcoma","2002-04-01 00:00:00",904
"<1","null","null","null","null","Incidence",3625838,"Kaposi Sarcoma","2002-04-01 00:00:00",905
"1-4","null","null","null","null","Mortality",15477731,"Kidney and Renal Pelvis","2002-04-01 00:00:00",906
"10-14","null","null","null","null","Mortality",21261421,"Kidney and Renal Pelvis","2002-04-01 00:00:00",907
"15-19","null","null","null","null","Mortality",20610370,"Kidney and Renal Pelvis","2002-04-01 00:00:00",908
"5-9","0.100000001490116","0.200000002980232","0.100000001490116","23","Mortality",19872417,"Kidney and Renal Pelvis","2002-04-01 00:00:00",909
"<1","null","null","null","null","Mortality",3951461,"Kidney and Renal Pelvis","2002-04-01 00:00:00",910
"1-4","1.70000004768372","2.20000004768372","2","279","Incidence",14193665,"Kidney and Renal Pelvis","2002-04-01 00:00:00",911
"10-14","0.100000001490116","0.200000002980232","0.100000001490116","25","Incidence",19507073,"Kidney and Renal Pelvis","2002-04-01 00:00:00",912
"15-19","0.100000001490116","0.200000002980232","0.100000001490116","25","Incidence",18870978,"Kidney and Renal Pelvis","2002-04-01 00:00:00",913
"5-9","0.400000005960464","0.600000023841858","0.5","90","Incidence",18238526,"Kidney and Renal Pelvis","2002-04-01 00:00:00",914
"<1","1.5","2.5","2","71","Incidence",3625838,"Kidney and Renal Pelvis","2002-04-01 00:00:00",915
"1-4","null","null","null","null","Mortality",15477731,"Larynx","2002-04-01 00:00:00",916
"10-14","null","null","null","null","Mortality",21261421,"Larynx","2002-04-01 00:00:00",917
"15-19","null","null","null","null","Mortality",20610370,"Larynx","2002-04-01 00:00:00",918
