"AGE","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","BEHAVIOR","COUNT","POPULATION","SEX","SITE","YEAR","CRUDE_CI_LOWER","CRUDE_CI_UPPER","CRUDE_RATE","SERIALID"
"0-19","null","null","null","Malignant","null",81846618,"Male and Female","Choroid plexus","2009-04-01 00:00:00","null","null","null",1198
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","60",80961146,"Male and Female","Choroid plexus","2010-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",1199
"0-19","0","0","0","Malignant","21",80961146,"Male and Female","Choroid plexus","2010-04-01 00:00:00","0","0","0",1200
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","156",78301500,"Male and Female","Craniopharyngioma","2004-04-01 00:00:00","0.200000002980232","0.200000002980232","0.200000002980232",1201
"0-19","null","null","null","Malignant","null",78301500,"Male and Female","Craniopharyngioma","2004-04-01 00:00:00","null","null","null",1202
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","156",78541923,"Male and Female","Craniopharyngioma","2005-04-01 00:00:00","0.200000002980232","0.200000002980232","0.200000002980232",1203
"0-19","null","null","null","Malignant","null",78541923,"Male and Female","Craniopharyngioma","2005-04-01 00:00:00","null","null","null",1204
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","148",78847112,"Male and Female","Craniopharyngioma","2006-04-01 00:00:00","0.200000002980232","0.200000002980232","0.200000002980232",1205
"0-19","null","null","null","Malignant","null",78847112,"Male and Female","Craniopharyngioma","2006-04-01 00:00:00","null","null","null",1206
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","170",81315506,"Male and Female","Craniopharyngioma","2007-04-01 00:00:00","0.200000002980232","0.200000002980232","0.200000002980232",1209
"0-19","null","null","null","Malignant","null",81315506,"Male and Female","Craniopharyngioma","2007-04-01 00:00:00","null","null","null",1210
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","149",81683260,"Male and Female","Craniopharyngioma","2008-04-01 00:00:00","0.200000002980232","0.200000002980232","0.200000002980232",1211
"0-19","null","null","null","Malignant","null",81683260,"Male and Female","Craniopharyngioma","2008-04-01 00:00:00","null","null","null",1212
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","160",81846618,"Male and Female","Craniopharyngioma","2009-04-01 00:00:00","0.200000002980232","0.200000002980232","0.200000002980232",1213
"0-19","null","null","null","Malignant","null",81846618,"Male and Female","Craniopharyngioma","2009-04-01 00:00:00","null","null","null",1214
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","157",80961146,"Male and Female","Craniopharyngioma","2010-04-01 00:00:00","0.200000002980232","0.200000002980232","0.200000002980232",1215
"0-19","null","null","null","Malignant","null",80961146,"Male and Female","Craniopharyngioma","2010-04-01 00:00:00","null","null","null",1216
"0-19","null","null","null","Benign/Borderline","null",78301500,"Male and Female","Diffuse astrocytoma","2004-04-01 00:00:00","null","null","null",1217
"0-19","0","0.100000001490116","0.100000001490116","Malignant","41",78301500,"Male and Female","Diffuse astrocytoma","2004-04-01 00:00:00","0","0.100000001490116","0.100000001490116",1218
"0-19","null","null","null","Benign/Borderline","null",78541923,"Male and Female","Diffuse astrocytoma","2005-04-01 00:00:00","null","null","null",1219
"0-19","0","0.100000001490116","0.100000001490116","Malignant","39",78541923,"Male and Female","Diffuse astrocytoma","2005-04-01 00:00:00","0","0.100000001490116","0",1220
"0-19","null","null","null","Benign/Borderline","null",78847112,"Male and Female","Diffuse astrocytoma","2006-04-01 00:00:00","null","null","null",1221
"0-19","0","0.100000001490116","0","Malignant","29",78847112,"Male and Female","Diffuse astrocytoma","2006-04-01 00:00:00","0","0.100000001490116","0",1222
"0-19","null","null","null","Benign/Borderline","null",81315506,"Male and Female","Diffuse astrocytoma","2007-04-01 00:00:00","null","null","null",1225
"0-19","0","0.100000001490116","0","Malignant","40",81315506,"Male and Female","Diffuse astrocytoma","2007-04-01 00:00:00","0","0.100000001490116","0",1226
"0-19","null","null","null","Benign/Borderline","null",81683260,"Male and Female","Diffuse astrocytoma","2008-04-01 00:00:00","null","null","null",1227
"0-19","0","0.100000001490116","0","Malignant","39",81683260,"Male and Female","Diffuse astrocytoma","2008-04-01 00:00:00","0","0.100000001490116","0",1228
"0-19","null","null","null","Benign/Borderline","null",81846618,"Male and Female","Diffuse astrocytoma","2009-04-01 00:00:00","null","null","null",1229
"0-19","0","0.100000001490116","0","Malignant","37",81846618,"Male and Female","Diffuse astrocytoma","2009-04-01 00:00:00","0","0.100000001490116","0",1230
"0-19","null","null","null","Benign/Borderline","null",80961146,"Male and Female","Diffuse astrocytoma","2010-04-01 00:00:00","null","null","null",1231
"0-19","0","0.100000001490116","0","Malignant","29",80961146,"Male and Female","Diffuse astrocytoma","2010-04-01 00:00:00","0","0.100000001490116","0",1232
"0-19","null","null","null","Benign/Borderline","null",78301500,"Male and Female","Embryonal/primitive/medulloblastoma","2004-04-01 00:00:00","null","null","null",1233
"0-19","0.600000023841858","0.699999988079071","0.600000023841858","Malignant","484",78301500,"Male and Female","Embryonal/primitive/medulloblastoma","2004-04-01 00:00:00","0.600000023841858","0.699999988079071","0.600000023841858",1234
"0-19","null","null","null","Benign/Borderline","null",78541923,"Male and Female","Embryonal/primitive/medulloblastoma","2005-04-01 00:00:00","null","null","null",1235
"0-19","0.5","0.600000023841858","0.600000023841858","Malignant","438",78541923,"Male and Female","Embryonal/primitive/medulloblastoma","2005-04-01 00:00:00","0.5","0.600000023841858","0.600000023841858",1236
"0-19","null","null","null","Benign/Borderline","null",78847112,"Male and Female","Embryonal/primitive/medulloblastoma","2006-04-01 00:00:00","null","null","null",1237
"0-19","0.600000023841858","0.699999988079071","0.600000023841858","Malignant","483",78847112,"Male and Female","Embryonal/primitive/medulloblastoma","2006-04-01 00:00:00","0.600000023841858","0.699999988079071","0.600000023841858",1238
"0-19","null","null","null","Benign/Borderline","null",81315506,"Male and Female","Embryonal/primitive/medulloblastoma","2007-04-01 00:00:00","null","null","null",1241
"0-19","0.600000023841858","0.699999988079071","0.600000023841858","Malignant","511",81315506,"Male and Female","Embryonal/primitive/medulloblastoma","2007-04-01 00:00:00","0.600000023841858","0.699999988079071","0.600000023841858",1242
"0-19","null","null","null","Benign/Borderline","null",81683260,"Male and Female","Embryonal/primitive/medulloblastoma","2008-04-01 00:00:00","null","null","null",1243
"0-19","0.600000023841858","0.699999988079071","0.699999988079071","Malignant","542",81683260,"Male and Female","Embryonal/primitive/medulloblastoma","2008-04-01 00:00:00","0.600000023841858","0.699999988079071","0.699999988079071",1244
"0-19","null","null","null","Benign/Borderline","null",81846618,"Male and Female","Embryonal/primitive/medulloblastoma","2009-04-01 00:00:00","null","null","null",1245
"0-19","0.600000023841858","0.699999988079071","0.600000023841858","Malignant","498",81846618,"Male and Female","Embryonal/primitive/medulloblastoma","2009-04-01 00:00:00","0.600000023841858","0.699999988079071","0.600000023841858",1246
"0-19","null","null","null","Benign/Borderline","null",80961146,"Male and Female","Embryonal/primitive/medulloblastoma","2010-04-01 00:00:00","null","null","null",1247
"0-19","0.5","0.600000023841858","0.600000023841858","Malignant","475",80961146,"Male and Female","Embryonal/primitive/medulloblastoma","2010-04-01 00:00:00","0.5","0.600000023841858","0.600000023841858",1248
"0-19","0","0","0","Benign/Borderline","23",78301500,"Male and Female","Ependymoma variants","2004-04-01 00:00:00","0","0","0",1249
"0-19","null","null","null","Malignant","null",78301500,"Male and Female","Ependymoma variants","2004-04-01 00:00:00","null","null","null",1250
"0-19","0","0","0","Benign/Borderline","25",78541923,"Male and Female","Ependymoma variants","2005-04-01 00:00:00","0","0","0",1251
"0-19","null","null","null","Malignant","null",78541923,"Male and Female","Ependymoma variants","2005-04-01 00:00:00","null","null","null",1252
"0-19","0","0.100000001490116","0","Benign/Borderline","37",78847112,"Male and Female","Ependymoma variants","2006-04-01 00:00:00","0","0.100000001490116","0",1253
"0-19","null","null","null","Malignant","null",78847112,"Male and Female","Ependymoma variants","2006-04-01 00:00:00","null","null","null",1254
"0-19","0","0.100000001490116","0","Benign/Borderline","29",81315506,"Male and Female","Ependymoma variants","2007-04-01 00:00:00","0","0.100000001490116","0",1257
"0-19","null","null","null","Malignant","null",81315506,"Male and Female","Ependymoma variants","2007-04-01 00:00:00","null","null","null",1258
"0-19","0","0","0","Benign/Borderline","29",81683260,"Male and Female","Ependymoma variants","2008-04-01 00:00:00","0","0.100000001490116","0",1259
"0-19","null","null","null","Malignant","null",81683260,"Male and Female","Ependymoma variants","2008-04-01 00:00:00","null","null","null",1260
"0-19","0","0","0","Benign/Borderline","28",81846618,"Male and Female","Ependymoma variants","2009-04-01 00:00:00","0","0","0",1261
"0-19","null","null","null","Malignant","null",81846618,"Male and Female","Ependymoma variants","2009-04-01 00:00:00","null","null","null",1262
"0-19","0","0.100000001490116","0","Benign/Borderline","37",80961146,"Male and Female","Ependymoma variants","2010-04-01 00:00:00","0","0.100000001490116","0",1263
"0-19","null","null","null","Malignant","null",80961146,"Male and Female","Ependymoma variants","2010-04-01 00:00:00","null","null","null",1264
"0-19","null","null","null","Benign/Borderline","null",78301500,"Male and Female","Ependymoma/anaplastic ependymoma","2004-04-01 00:00:00","null","null","null",1265
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Malignant","189",78301500,"Male and Female","Ependymoma/anaplastic ependymoma","2004-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",1266
"0-19","null","null","null","Benign/Borderline","null",78541923,"Male and Female","Ependymoma/anaplastic ependymoma","2005-04-01 00:00:00","null","null","null",1267
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Malignant","198",78541923,"Male and Female","Ependymoma/anaplastic ependymoma","2005-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",1268
"0-19","null","null","null","Benign/Borderline","null",78847112,"Male and Female","Ependymoma/anaplastic ependymoma","2006-04-01 00:00:00","null","null","null",1269
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Malignant","198",78847112,"Male and Female","Ependymoma/anaplastic ependymoma","2006-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",1270
"0-19","null","null","null","Benign/Borderline","null",81315506,"Male and Female","Ependymoma/anaplastic ependymoma","2007-04-01 00:00:00","null","null","null",1273
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Malignant","176",81315506,"Male and Female","Ependymoma/anaplastic ependymoma","2007-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",1274
"0-19","null","null","null","Benign/Borderline","null",81683260,"Male and Female","Ependymoma/anaplastic ependymoma","2008-04-01 00:00:00","null","null","null",1275
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Malignant","172",81683260,"Male and Female","Ependymoma/anaplastic ependymoma","2008-04-01 00:00:00","0.200000002980232","0.200000002980232","0.200000002980232",1276
"0-19","0.699999988079071","0.899999976158142","0.800000011920929","Benign/Borderline","304",38177564,"Female","Tumors of Sellar Region","2004-04-01 00:00:00","0.699999988079071","0.899999976158142","0.800000011920929",498
"0-19","null","null","null","Malignant","null",38177564,"Female","Tumors of Sellar Region","2004-04-01 00:00:00","null","null","null",499
"0-19","0.800000011920929","0.899999976158142","0.899999976158142","Benign/Borderline","332",38305772,"Female","Tumors of Sellar Region","2005-04-01 00:00:00","0.800000011920929","1","0.899999976158142",500
"0-19","null","null","null","Malignant","null",38305772,"Female","Tumors of Sellar Region","2005-04-01 00:00:00","null","null","null",501
"0-19","0.800000011920929","1","0.899999976158142","Benign/Borderline","360",38466303,"Female","Tumors of Sellar Region","2006-04-01 00:00:00","0.800000011920929","1","0.899999976158142",502
"0-19","null","null","null","Malignant","null",38466303,"Female","Tumors of Sellar Region","2006-04-01 00:00:00","null","null","null",503
"0-19","0.800000011920929","1","0.899999976158142","Benign/Borderline","377",39682297,"Female","Tumors of Sellar Region","2007-04-01 00:00:00","0.899999976158142","1.10000002384186","1",506
"0-19","null","null","null","Malignant","null",39682297,"Female","Tumors of Sellar Region","2007-04-01 00:00:00","null","null","null",507
"0-19","0.800000011920929","1","0.899999976158142","Benign/Borderline","371",39875033,"Female","Tumors of Sellar Region","2008-04-01 00:00:00","0.800000011920929","1","0.899999976158142",508
"0-19","null","null","null","Malignant","null",39875033,"Female","Tumors of Sellar Region","2008-04-01 00:00:00","null","null","null",509
"0-19","0.800000011920929","1","0.899999976158142","Benign/Borderline","380",39970215,"Female","Tumors of Sellar Region","2009-04-01 00:00:00","0.899999976158142","1.10000002384186","1",510
"0-19","null","null","null","Malignant","null",39970215,"Female","Tumors of Sellar Region","2009-04-01 00:00:00","null","null","null",511
"0-19","0.899999976158142","1.10000002384186","1","Benign/Borderline","414",39544072,"Female","Tumors of Sellar Region","2010-04-01 00:00:00","0.899999976158142","1.20000004768372","1",512
"0-19","null","null","null","Malignant","null",39544072,"Female","Tumors of Sellar Region","2010-04-01 00:00:00","null","null","null",513
"0-19","0.100000001490116","0.200000002980232","0.200000002980232","Benign/Borderline","65",38177564,"Female","Tumors of the Meninges","2004-04-01 00:00:00","0.100000001490116","0.200000002980232","0.200000002980232",514
"0-19","null","null","null","Malignant","null",38177564,"Female","Tumors of the Meninges","2004-04-01 00:00:00","null","null","null",515
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Benign/Borderline","94",38305772,"Female","Tumors of the Meninges","2005-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",516
"0-19","null","null","null","Malignant","null",38305772,"Female","Tumors of the Meninges","2005-04-01 00:00:00","null","null","null",517
"0-19","0.100000001490116","0.200000002980232","0.200000002980232","Benign/Borderline","63",38466303,"Female","Tumors of the Meninges","2006-04-01 00:00:00","0.100000001490116","0.200000002980232","0.200000002980232",518
"0-19","null","null","null","Malignant","null",38466303,"Female","Tumors of the Meninges","2006-04-01 00:00:00","null","null","null",519
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Benign/Borderline","86",39682297,"Female","Tumors of the Meninges","2007-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",522
"0-19","null","null","null","Malignant","null",39682297,"Female","Tumors of the Meninges","2007-04-01 00:00:00","null","null","null",523
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","81",39875033,"Female","Tumors of the Meninges","2008-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",524
"0-19","null","null","null","Malignant","null",39875033,"Female","Tumors of the Meninges","2008-04-01 00:00:00","null","null","null",525
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Benign/Borderline","88",39970215,"Female","Tumors of the Meninges","2009-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",526
"0-19","null","null","null","Malignant","null",39970215,"Female","Tumors of the Meninges","2009-04-01 00:00:00","null","null","null",527
"0-19","0.200000002980232","0.200000002980232","0.200000002980232","Benign/Borderline","80",39544072,"Female","Tumors of the Meninges","2010-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",528
"0-19","null","null","null","Malignant","null",39544072,"Female","Tumors of the Meninges","2010-04-01 00:00:00","null","null","null",529
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","42",38177564,"Female","Unclassified Tumors","2004-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",530
"0-19","0","0.100000001490116","0.100000001490116","Malignant","26",38177564,"Female","Unclassified Tumors","2004-04-01 00:00:00","0","0.100000001490116","0.100000001490116",531
"0-19","0.100000001490116","0.200000002980232","0.200000002980232","Benign/Borderline","72",38305772,"Female","Unclassified Tumors","2005-04-01 00:00:00","0.100000001490116","0.200000002980232","0.200000002980232",532
"0-19","0","0.100000001490116","0.100000001490116","Malignant","19",38305772,"Female","Unclassified Tumors","2005-04-01 00:00:00","0","0.100000001490116","0",533
"0-19","0.100000001490116","0.200000002980232","0.200000002980232","Benign/Borderline","70",38466303,"Female","Unclassified Tumors","2006-04-01 00:00:00","0.100000001490116","0.200000002980232","0.200000002980232",534
"0-19","null","null","null","Benign/Borderline","null",41808227,"Male","Anaplastic oligodendroglioma","2008-04-01 00:00:00","null","null","null",535
"0-19","0","0.100000001490116","0.100000001490116","Malignant","24",38466303,"Female","Unclassified Tumors","2006-04-01 00:00:00","0","0.100000001490116","0.100000001490116",536
"0-19","0.100000001490116","0.200000002980232","0.200000002980232","Benign/Borderline","67",39682297,"Female","Unclassified Tumors","2007-04-01 00:00:00","0.100000001490116","0.200000002980232","0.200000002980232",539
"0-19","0","0.100000001490116","0","Malignant","17",39682297,"Female","Unclassified Tumors","2007-04-01 00:00:00","0","0.100000001490116","0",540
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Benign/Borderline","106",39875033,"Female","Unclassified Tumors","2008-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",541
"0-19","0","0.100000001490116","0","Malignant","16",39875033,"Female","Unclassified Tumors","2008-04-01 00:00:00","0","0.100000001490116","0",542
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Benign/Borderline","99",39970215,"Female","Unclassified Tumors","2009-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",543
"0-19","0","0.100000001490116","0.100000001490116","Malignant","20",39970215,"Female","Unclassified Tumors","2009-04-01 00:00:00","0","0.100000001490116","0.100000001490116",544
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Benign/Borderline","108",39544072,"Female","Unclassified Tumors","2010-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",545
"0-19","null","null","null","Malignant","null",39544072,"Female","Unclassified Tumors","2010-04-01 00:00:00","null","null","null",546
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Unique astrocytoma variants","2004-04-01 00:00:00","null","null","null",547
"0-19","0","0.100000001490116","0","Malignant","17",38177564,"Female","Unique astrocytoma variants","2004-04-01 00:00:00","0","0.100000001490116","0",548
"0-19","0","0.100000001490116","0","Benign/Borderline","18",38305772,"Female","Unique astrocytoma variants","2005-04-01 00:00:00","0","0.100000001490116","0",549
"0-19","0","0.100000001490116","0","Malignant","18",38305772,"Female","Unique astrocytoma variants","2005-04-01 00:00:00","0","0.100000001490116","0",550
"0-19","0","0.100000001490116","0.100000001490116","Benign/Borderline","22",38466303,"Female","Unique astrocytoma variants","2006-04-01 00:00:00","0","0.100000001490116","0.100000001490116",551
"0-19","null","null","null","Malignant","null",38466303,"Female","Unique astrocytoma variants","2006-04-01 00:00:00","null","null","null",552
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","32",39682297,"Female","Unique astrocytoma variants","2007-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",555
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Malignant","32",39682297,"Female","Unique astrocytoma variants","2007-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",556
"0-19","0","0.100000001490116","0","Benign/Borderline","19",39875033,"Female","Unique astrocytoma variants","2008-04-01 00:00:00","0","0.100000001490116","0",557
"0-19","null","null","null","Malignant","null",39875033,"Female","Unique astrocytoma variants","2008-04-01 00:00:00","null","null","null",558
"0-19","0","0.100000001490116","0.100000001490116","Benign/Borderline","24",39970215,"Female","Unique astrocytoma variants","2009-04-01 00:00:00","0","0.100000001490116","0.100000001490116",559
"0-19","0","0.100000001490116","0","Malignant","18",39970215,"Female","Unique astrocytoma variants","2009-04-01 00:00:00","0","0.100000001490116","0",560
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Unique astrocytoma variants","2010-04-01 00:00:00","null","null","null",561
"0-19","null","null","null","Malignant","null",39544072,"Female","Unique astrocytoma variants","2010-04-01 00:00:00","null","null","null",562
"0-19","null","null","null","Benign/Borderline","null",40123936,"Male","All other","2004-04-01 00:00:00","null","null","null",563
"0-19","null","null","null","Malignant","null",40123936,"Male","All other","2004-04-01 00:00:00","null","null","null",564
"0-19","null","null","null","Benign/Borderline","null",40236151,"Male","All other","2005-04-01 00:00:00","null","null","null",565
"0-19","null","null","null","Malignant","null",40236151,"Male","All other","2005-04-01 00:00:00","null","null","null",566
"0-19","null","null","null","Benign/Borderline","null",40380809,"Male","All other","2006-04-01 00:00:00","null","null","null",567
"0-19","null","null","null","Malignant","null",40380809,"Male","All other","2006-04-01 00:00:00","null","null","null",568
"0-19","null","null","null","Benign/Borderline","null",41633209,"Male","All other","2007-04-01 00:00:00","null","null","null",571
"0-19","null","null","null","Malignant","null",41633209,"Male","All other","2007-04-01 00:00:00","null","null","null",572
"0-19","null","null","null","Benign/Borderline","null",41808227,"Male","All other","2008-04-01 00:00:00","null","null","null",573
"0-19","null","null","null","Malignant","null",41808227,"Male","All other","2008-04-01 00:00:00","null","null","null",574
"0-19","null","null","null","Benign/Borderline","null",41876403,"Male","All other","2009-04-01 00:00:00","null","null","null",575
"0-19","null","null","null","Malignant","null",41876403,"Male","All other","2009-04-01 00:00:00","null","null","null",576
"0-19","null","null","null","Benign/Borderline","null",41417074,"Male","All other","2010-04-01 00:00:00","null","null","null",577
"0-19","null","null","null","Malignant","null",41417074,"Male","All other","2010-04-01 00:00:00","null","null","null",578
"0-19","null","null","null","Benign/Borderline","null",40123936,"Male","Anaplastic astrocytoma","2004-04-01 00:00:00","null","null","null",579
"0-19","0","0.100000001490116","0.100000001490116","Malignant","25",40123936,"Male","Anaplastic astrocytoma","2004-04-01 00:00:00","0","0.100000001490116","0.100000001490116",580
"0-19","null","null","null","Benign/Borderline","null",40236151,"Male","Anaplastic astrocytoma","2005-04-01 00:00:00","null","null","null",581
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Malignant","34",40236151,"Male","Anaplastic astrocytoma","2005-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",582
"0-19","null","null","null","Benign/Borderline","null",40380809,"Male","Anaplastic astrocytoma","2006-04-01 00:00:00","null","null","null",583
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Malignant","32",40380809,"Male","Anaplastic astrocytoma","2006-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",584
"0-19","null","null","null","Benign/Borderline","null",41633209,"Male","Anaplastic astrocytoma","2007-04-01 00:00:00","null","null","null",587
"0-19","0.100000001490116","0.200000002980232","0.100000001490116","Malignant","52",41633209,"Male","Anaplastic astrocytoma","2007-04-01 00:00:00","0.100000001490116","0.200000002980232","0.100000001490116",588
"0-19","null","null","null","Benign/Borderline","null",41808227,"Male","Anaplastic astrocytoma","2008-04-01 00:00:00","null","null","null",589
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Malignant","41",41808227,"Male","Anaplastic astrocytoma","2008-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",590
"0-19","null","null","null","Benign/Borderline","null",41876403,"Male","Anaplastic astrocytoma","2009-04-01 00:00:00","null","null","null",591
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Malignant","40",41876403,"Male","Anaplastic astrocytoma","2009-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",592
"0-19","null","null","null","Benign/Borderline","null",41417074,"Male","Anaplastic astrocytoma","2010-04-01 00:00:00","null","null","null",593
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Malignant","41",41417074,"Male","Anaplastic astrocytoma","2010-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",594
"0-19","null","null","null","Benign/Borderline","null",40123936,"Male","Anaplastic oligodendroglioma","2004-04-01 00:00:00","null","null","null",595
"0-19","null","null","null","Malignant","null",40123936,"Male","Anaplastic oligodendroglioma","2004-04-01 00:00:00","null","null","null",596
"0-19","null","null","null","Benign/Borderline","null",40236151,"Male","Anaplastic oligodendroglioma","2005-04-01 00:00:00","null","null","null",597
"0-19","null","null","null","Malignant","null",40236151,"Male","Anaplastic oligodendroglioma","2005-04-01 00:00:00","null","null","null",598
"0-19","null","null","null","Benign/Borderline","null",40380809,"Male","Anaplastic oligodendroglioma","2006-04-01 00:00:00","null","null","null",599
"0-19","null","null","null","Malignant","null",40380809,"Male","Anaplastic oligodendroglioma","2006-04-01 00:00:00","null","null","null",600
"0-19","null","null","null","Benign/Borderline","null",41633209,"Male","Anaplastic oligodendroglioma","2007-04-01 00:00:00","null","null","null",603
"0-19","null","null","null","Malignant","null",41808227,"Male","Anaplastic oligodendroglioma","2008-04-01 00:00:00","null","null","null",604
"0-19","null","null","null","Benign/Borderline","null",41876403,"Male","Anaplastic oligodendroglioma","2009-04-01 00:00:00","null","null","null",605
"0-19","null","null","null","Malignant","null",41876403,"Male","Anaplastic oligodendroglioma","2009-04-01 00:00:00","null","null","null",606
"0-19","null","null","null","Benign/Borderline","null",41417074,"Male","Anaplastic oligodendroglioma","2010-04-01 00:00:00","null","null","null",607
"0-19","null","null","null","Malignant","null",41417074,"Male","Anaplastic oligodendroglioma","2010-04-01 00:00:00","null","null","null",608
"0-19","null","null","null","Benign/Borderline","null",40123936,"Male","Astrocytoma, NOS","2004-04-01 00:00:00","null","null","null",609
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Malignant","106",40123936,"Male","Astrocytoma, NOS","2004-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",610
"0-19","null","null","null","Benign/Borderline","null",40236151,"Male","Astrocytoma, NOS","2005-04-01 00:00:00","null","null","null",611
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Malignant","92",40236151,"Male","Astrocytoma, NOS","2005-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",612
"0-19","null","null","null","Benign/Borderline","null",40380809,"Male","Astrocytoma, NOS","2006-04-01 00:00:00","null","null","null",613
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Malignant","99",40380809,"Male","Astrocytoma, NOS","2006-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",614
"0-19","null","null","null","Benign/Borderline","null",41633209,"Male","Astrocytoma, NOS","2007-04-01 00:00:00","null","null","null",617
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Malignant","93",41633209,"Male","Astrocytoma, NOS","2007-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",618
"0-19","null","null","null","Benign/Borderline","null",41808227,"Male","Astrocytoma, NOS","2008-04-01 00:00:00","null","null","null",619
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Malignant","94",41808227,"Male","Astrocytoma, NOS","2008-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",620
"0-19","null","null","null","Benign/Borderline","null",41876403,"Male","Astrocytoma, NOS","2009-04-01 00:00:00","null","null","null",621
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Malignant","101",41876403,"Male","Astrocytoma, NOS","2009-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",622
"0-19","null","null","null","Benign/Borderline","null",41417074,"Male","Astrocytoma, NOS","2010-04-01 00:00:00","null","null","null",623
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Malignant","107",41417074,"Male","Astrocytoma, NOS","2010-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",624
"0-19","0","0.100000001490116","0.100000001490116","Benign/Borderline","26",40123936,"Male","Choroid plexus","2004-04-01 00:00:00","0","0.100000001490116","0.100000001490116",625
"0-19","null","null","null","Malignant","null",40123936,"Male","Choroid plexus","2004-04-01 00:00:00","null","null","null",626
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","33",40236151,"Male","Choroid plexus","2005-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",627
"0-19","null","null","null","Malignant","null",40236151,"Male","Choroid plexus","2005-04-01 00:00:00","null","null","null",628
